COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
118.0 , 4134.35897436 , 4130.76923077 , 4136.92307692 , 4132.82051282 , 4131.79487179 , 4126.66666667 , 4141.53846154 , 4134.87179487 , 4137.43589744 , 4145.12820513 , 4085.64102564 , 3407.69230769 , 4135.38461538 , 4137.94871795 , 2005.0 , 2111.0 , 3.397 , 0.0 , 0.0 , 0.0 , 0.0 , 

119.0 , 4135.8974359 , 4133.84615385 , 4132.82051282 , 4134.87179487 , 4132.30769231 , 4130.76923077 , 4147.17948718 , 4134.87179487 , 4137.43589744 , 4144.1025641 , 4084.61538462 , 3405.12820513 , 4134.87179487 , 4134.87179487 , 2004.0 , 2110.0 , 3.413 , 0.0 , 0.0 , 0.0 , 0.0 , 

120.0 , 4136.41025641 , 4134.35897436 , 4135.38461538 , 4132.82051282 , 4133.33333333 , 4134.35897436 , 4137.94871795 , 4132.82051282 , 4137.94871795 , 4143.07692308 , 4081.02564103 , 3406.66666667 , 4134.35897436 , 4136.41025641 , 2004.0 , 2109.0 , 3.428 , 0.0 , 0.0 , 0.0 , 0.0 , 

121.0 , 4135.38461538 , 4132.30769231 , 4138.46153846 , 4134.87179487 , 4134.35897436 , 4134.35897436 , 4128.20512821 , 4133.84615385 , 4137.94871795 , 4144.1025641 , 4081.02564103 , 3404.1025641 , 4135.38461538 , 4135.8974359 , 2005.0 , 2107.0 , 3.428 , 0.0 , 0.0 , 0.0 , 0.0 , 

122.0 , 4138.46153846 , 4133.84615385 , 4138.97435897 , 4135.8974359 , 4132.30769231 , 4132.30769231 , 4124.1025641 , 4134.35897436 , 4135.38461538 , 4143.58974359 , 4084.1025641 , 3408.20512821 , 4137.43589744 , 4137.94871795 , 2008.0 , 2106.0 , 3.428 , 0.0 , 0.0 , 0.0 , 0.0 , 

123.0 , 4136.41025641 , 4135.38461538 , 4135.8974359 , 4133.84615385 , 4134.35897436 , 4131.28205128 , 4132.82051282 , 4134.87179487 , 4136.41025641 , 4143.07692308 , 4082.56410256 , 3411.28205128 , 4135.8974359 , 4134.35897436 , 2009.0 , 2103.0 , 3.444 , 0.0 , 0.0 , 0.0 , 0.0 , 

124.0 , 4131.79487179 , 4135.38461538 , 4138.97435897 , 4133.33333333 , 4134.35897436 , 4131.28205128 , 4127.69230769 , 4134.87179487 , 4136.92307692 , 4140.0 , 4084.61538462 , 3408.20512821 , 4133.33333333 , 4135.8974359 , 2010.0 , 2102.0 , 3.46 , 0.0 , 0.0 , 0.0 , 0.0 , 

125.0 , 4130.76923077 , 4135.38461538 , 4140.0 , 4137.94871795 , 4132.30769231 , 4136.41025641 , 4122.05128205 , 4134.87179487 , 4135.8974359 , 4140.0 , 4087.69230769 , 3403.07692308 , 4131.79487179 , 4137.43589744 , 2014.0 , 2100.0 , 3.46 , 0.0 , 0.0 , 0.0 , 0.0 , 

126.0 , 4134.87179487 , 4135.38461538 , 4138.46153846 , 4136.92307692 , 4131.79487179 , 4136.41025641 , 4117.94871795 , 4132.82051282 , 4134.35897436 , 4140.0 , 4084.1025641 , 3405.64102564 , 4131.79487179 , 4136.92307692 , 2016.0 , 2099.0 , 3.475 , 0.0 , 0.0 , 0.0 , 0.0 , 

127.0 , 4133.84615385 , 4133.33333333 , 4136.92307692 , 4134.87179487 , 4131.28205128 , 4132.82051282 , 4122.05128205 , 4133.84615385 , 4137.43589744 , 4140.0 , 4082.05128205 , 3405.64102564 , 4133.84615385 , 4136.41025641 , 2020.0 , 2097.0 , 3.482 , 0.0 , 0.0 , 0.0 , 0.0 , 

128.0 , 4133.33333333 , 4135.38461538 , 4138.46153846 , 4135.8974359 , 4130.76923077 , 4133.84615385 , 4122.56410256 , 4136.41025641 , 4141.02564103 , 4140.0 , 4085.64102564 , 3402.56410256 , 4133.84615385 , 4138.46153846 , 2020.0 , 2095.0 , 3.482 , 0.0 , 0.0 , 0.0 , 0.0 , 

0.0 , 4133.33333333 , 4137.94871795 , 4140.51282051 , 4131.79487179 , 4131.79487179 , 4135.38461538 , 4122.05128205 , 4136.92307692 , 4140.0 , 4137.94871795 , 4087.69230769 , 3403.07692308 , 4132.82051282 , 4137.43589744 , 2023.0 , 2093.0 , 3.498 , 0.0 , 0.0 , 0.0 , 0.0 , 

1.0 , 4132.30769231 , 4135.38461538 , 4146.15384615 , 4129.74358974 , 4132.82051282 , 4131.79487179 , 4125.12820513 , 4137.43589744 , 4140.0 , 4138.46153846 , 4084.1025641 , 3403.07692308 , 4132.82051282 , 4135.8974359 , 2024.0 , 2092.0 , 3.498 , 0.0 , 0.0 , 0.0 , 0.0 , 

2.0 , 4132.30769231 , 4133.33333333 , 4144.61538462 , 4134.87179487 , 4133.33333333 , 4132.82051282 , 4132.82051282 , 4137.43589744 , 4140.51282051 , 4142.56410256 , 4083.07692308 , 3403.58974359 , 4135.8974359 , 4135.38461538 , 2023.0 , 2092.0 , 3.514 , 0.0 , 0.0 , 0.0 , 0.0 , 

3.0 , 4132.82051282 , 4135.38461538 , 4135.38461538 , 4138.46153846 , 4133.84615385 , 4136.92307692 , 4141.02564103 , 4136.92307692 , 4139.48717949 , 4143.07692308 , 4085.12820513 , 3405.64102564 , 4136.92307692 , 4133.84615385 , 2024.0 , 2090.0 , 3.514 , 0.0 , 0.0 , 0.0 , 0.0 , 

4.0 , 4132.82051282 , 4136.92307692 , 4130.76923077 , 4135.8974359 , 4132.82051282 , 4132.30769231 , 4140.0 , 4137.94871795 , 4138.46153846 , 4141.02564103 , 4084.1025641 , 3410.25641026 , 4135.38461538 , 4137.43589744 , 2024.0 , 2089.0 , 3.529 , 0.0 , 0.0 , 0.0 , 0.0 , 

5.0 , 4133.84615385 , 4134.87179487 , 4132.82051282 , 4137.94871795 , 4130.76923077 , 4129.74358974 , 4137.43589744 , 4138.46153846 , 4143.58974359 , 4143.58974359 , 4080.0 , 3408.20512821 , 4134.87179487 , 4134.35897436 , 2025.0 , 2085.0 , 3.529 , 0.0 , 0.0 , 0.0 , 0.0 , 

6.0 , 4136.41025641 , 4130.25641026 , 4130.25641026 , 4140.0 , 4130.76923077 , 4133.84615385 , 4130.76923077 , 4135.38461538 , 4144.1025641 , 4144.1025641 , 4082.56410256 , 3408.20512821 , 4137.94871795 , 4133.33333333 , 2026.0 , 2080.0 , 3.545 , 0.0 , 0.0 , 0.0 , 0.0 , 

7.0 , 4134.35897436 , 4129.23076923 , 4131.28205128 , 4139.48717949 , 4132.82051282 , 4135.8974359 , 4130.76923077 , 4136.92307692 , 4142.05128205 , 4140.51282051 , 4085.64102564 , 3408.71794872 , 4135.38461538 , 4133.33333333 , 2030.0 , 2073.0 , 3.545 , 0.0 , 0.0 , 0.0 , 0.0 , 

8.0 , 4132.82051282 , 4132.82051282 , 4139.48717949 , 4138.46153846 , 4132.82051282 , 4132.82051282 , 4123.58974359 , 4137.43589744 , 4138.97435897 , 4140.51282051 , 4087.69230769 , 3408.71794872 , 4133.33333333 , 4138.46153846 , 2031.0 , 2070.0 , 3.56 , 0.0 , 0.0 , 0.0 , 0.0 , 

9.0 , 4133.33333333 , 4134.87179487 , 4138.46153846 , 4141.02564103 , 4134.35897436 , 4138.46153846 , 4116.41025641 , 4134.87179487 , 4136.92307692 , 4141.53846154 , 4087.17948718 , 3405.64102564 , 4133.84615385 , 4136.41025641 , 2033.0 , 2068.0 , 3.56 , 0.0 , 0.0 , 0.0 , 0.0 , 

10.0 , 4133.84615385 , 4132.30769231 , 4138.46153846 , 4140.0 , 4132.82051282 , 4144.61538462 , 4109.74358974 , 4133.84615385 , 4135.8974359 , 4138.97435897 , 4087.17948718 , 3408.71794872 , 4131.79487179 , 4137.43589744 , 2035.0 , 2066.0 , 3.578 , 0.0 , 0.0 , 0.0 , 0.0 , 

